Համայնք,Տեղադրման—Ամսաթիվ,Թարմացման—Ամսաթիվ,Գին,Հասցե,Տարածաշրջան,Շինության տիպ,Նորակառույց,Վերելակ,Հարկերի քանակ,Ընդհանուր մակերես,Սենյակների քանակ,Սանհանգույցների քանակ,Առաստաղի բարձրություն,Հարկ,Պատշգամբ,Կահույք,Վերանորոգում,հեռուստացույց,օդորակիչ,ինտերնետ,սառնարան,սալօջախ,միկրոալիքային վառարան,սրճեփ,սպասք լվացող մեքենա,լվացքի մեքենա,ջրատաքացուցիչ,արդուկ,ֆեն,Կարելի է երեխաների հետ,Թույլատրվում են ընտանի կենդանիներ,Կոմունալ վճարումներ,Կանխավճար,դոմոֆոն,կայանատեղի,տեսարան դեպի բակ,տեսարան դեպի փողոց,տեսարան դեպի քաղաք,տեսարան դեպի արարատ,խաղահրապարակ,տեսարան դեպի այգի,դռնապահ,չորացնող մեքենա,Հին–Հայտարարություն,Գին_մեկ_մետրի_համար,Մակերես_մեկ_սենյակի_համար
326437,2024-10-09,06.11.2024,330000,,Երևան,3,1,1,15,83.0,3,2,3.0,7,1,1,3,1,1,1,1,1,0,0,1,1,1,0,0,2,3,3,5,1,1,1,0,0,0,1,0,0,0,28,3975,27
449256,2024-08-11,06.11.2024,220000,Տիգրան Մեծի պողոտա,Երևան,2,2,1,9,90.0,3,1,2.75,8,2,1,6,1,0,1,1,1,0,0,0,1,0,0,0,1,2,3,5,1,1,1,1,1,0,1,0,0,0,87,2444,30
272642,2024-10-11,06.11.2024,280000,Ավան 4-րդ փողոց,Երևան,3,1,2,5,59.0,3,1,2.8,5,4,1,2,1,1,1,1,1,0,0,0,1,1,1,0,2,3,3,2,1,1,0,0,1,0,0,0,0,0,26,4745,19
306828,2023-11-24,06.11.2024,300000,Դավթաշեն 2-րդ թաղամաս,Երևան,3,1,1,14,50.0,2,1,3.0,11,4,1,2,1,1,1,1,1,1,0,0,1,0,1,1,1,2,3,4,1,1,1,0,0,0,1,1,0,0,348,6000,25
306828,2024-09-28,06.11.2024,250000,Դավթաշենի 2-րդ զանգված 34,Երևան,2,2,1,9,80.0,3,2,2.75,2,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,3,3,4,1,1,1,1,0,0,0,0,0,0,39,3125,26
449256,2023-06-02,06.11.2024,1365000,Արամի փողոց,Երևան,3,1,1,16,180.0,4,2,3.0,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3,3,5,1,1,1,1,1,0,1,1,1,0,523,7583,45
306828,2023-12-29,06.11.2024,170000,Եղվարդի խճուղի,Երեւան,1,1,2,4,53.0,3,1,2.8,2,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3,2,1,1,0,1,0,0,0,0,0,0,313,3207,17
230312,2023-05-29,06.11.2024,210000,Չեխովի փողոց,Երևան,3,1,1,13,45.0,2,1,2.8,8,4,1,2,1,1,1,1,1,0,1,0,1,0,0,0,1,2,3,2,1,1,1,0,1,1,1,1,1,0,527,4666,22
230312,2023-04-04,06.11.2024,200000,Մայիսի 9-ի փողոց,Երևան,1,2,2,3,58.0,2,1,2.8,1,4,1,3,1,1,1,1,1,0,1,0,1,1,1,0,1,2,3,2,0,1,1,0,1,0,0,0,0,0,582,3448,29
230312,2024-10-13,06.11.2024,240000,Չեխովի փողոց,Երևան,2,1,1,13,45.0,2,1,2.8,9,4,1,2,1,1,1,1,1,0,1,0,1,1,0,0,1,3,3,4,1,1,1,1,0,0,1,0,1,0,24,5333,22
239577,2024-04-28,06.11.2024,250000,Էրեբունու փողոց,Երևան,1,1,2,5,90.0,4,1,2.75,5,1,1,3,1,1,0,1,1,1,1,0,1,1,1,1,1,3,3,4,1,1,1,1,0,0,0,0,0,1,192,2777,22
449256,2024-09-01,06.11.2024,234000,Տիգրան Մեծի պողոտա,Երևան,1,2,2,4,45.0,2,1,3.2,3,2,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,2,3,4,1,0,0,1,0,0,0,0,0,0,66,5200,22
305770,2024-08-04,06.11.2024,234000,Հակոբ Հակոբյան փողոցային գոտի,Երեւան,1,2,2,5,45.0,2,1,3.0,1,4,1,3,1,0,1,1,1,0,0,0,1,1,1,1,1,3,3,4,0,1,0,0,0,0,1,1,1,0,94,5200,22
449256,2023-06-19,06.11.2024,351000,Հին երևանցու փողոց,Երևան,2,2,1,11,78.0,3,1,2.7,5,3,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,3,3,5,0,0,1,1,0,0,0,0,0,0,506,4500,26
239577,2024-10-07,06.11.2024,160000,Աթոյան փողոց անցուղի,Երևան,1,2,2,5,47.0,2,1,2.8,4,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,1,1,1,1,0,0,1,1,0,0,30,3404,23
239577,2024-10-26,06.11.2024,270000,Արցախի պողոտա,Երևան,1,2,1,9,70.0,3,1,2.8,4,4,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,3,3,4,0,1,1,0,0,0,0,0,0,0,11,3857,23
239577,2024-10-27,06.11.2024,180000,Նոր Արեշի 15-րդ փողոց,Երևան,1,2,2,5,60.0,2,1,2.7,1,3,1,4,1,0,0,1,1,0,0,0,1,1,0,0,1,2,3,2,0,0,1,0,0,0,0,0,0,0,10,3000,30
230312,2024-11-03,06.11.2024,210000,Գարեգին Նժդեհի փողոց,Երևան,2,2,1,9,70.0,2,1,2.75,7,2,1,3,1,0,1,1,1,0,0,0,1,0,0,0,2,3,3,4,0,0,1,0,0,0,0,0,0,0,3,3000,35
239577,2024-11-03,06.11.2024,300000,Արցախի պողոտա,Երևան,2,2,1,14,65.0,3,1,2.75,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,1,1,1,1,0,1,1,0,1,0,3,4615,21
